Entity,Code,Year,Net imports - TWh,time
Afghanistan,,,6.22,2023
Albania,,,-0.92,2023
Algeria,,,-2.28,2023
Angola,,,0,2023
Antigua and Barbuda,,,0,2023
Argentina,ARG,2024,8.79,2024
Armenia,ARM,2024,-0.97,2024
Australia,AUS,2024,0,2024
Austria,AUT,2024,-6.48,2024
Azerbaijan,AZE,2024,-1.15,2024
Bahamas,,,0,2022
Bahrain,,,0.01,2023
Bangladesh,BGD,2024,9.66,2024
Barbados,,,0,2023
Belarus,BLR,2024,0.62,2024
Belgium,BEL,2024,9.5,2024
Belize,,,0.28,2023
Benin,,,0.84,2023
Bhutan,,,0.83,2023
Bolivia,BOL,2024,0,2024
Bosnia and Herzegovina,BIH,2024,0,2024
Botswana,,,1.92,2023
Brazil,BRA,2024,15.11,2024
Brunei,,,0,2023
Bulgaria,BGR,2024,-1.04,2024
Burkina Faso,,,1.58,2023
Burundi,,,0.1,2023
Cambodia,KHM,2024,5.78,2024
Cameroon,,,0.06,2023
Canada,CAN,2024,-12.5,2024
Cape Verde,,,0,2022
Central African Republic,,,0,2022
Chad,,,0,2022
Chile,CHL,2024,0,2024
China,CHN,2024,-13.93,2024
Colombia,COL,2024,-0.89,2024
Comoros,,,0,2023
Congo,,,0,2023
Costa Rica,CRI,2024,-0.85,2024
Cote d'Ivoire,,,-0.75,2023
Croatia,HRV,2024,4.04,2024
Cuba,,,0,2023
Cyprus,CYP,2024,0,2024
Czechia,CZE,2024,-6.39,2024
Democratic Republic of Congo,,,1.41,2023
Denmark,DNK,2024,3.8,2024
Djibouti,,,0.51,2023
Dominica,,,0,2023
Dominican Republic,DOM,2024,0,2024
East Timor,,,0,2023
Ecuador,ECU,2024,0.28,2024
Egypt,EGY,2024,-1.6,2024
El Salvador,SLV,2024,0.71,2024
Equatorial Guinea,,,0,2023
Eritrea,,,0,2023
Estonia,EST,2024,2.91,2024
Eswatini,,,0.93,2023
Ethiopia,,,-1.76,2023
Fiji,,,0,2023
Finland,FIN,2024,3.19,2024
France,FRA,2024,-91.02,2024
French Guiana,,,0,2022
Gabon,,,0.58,2023
Gambia,,,0,2023
Georgia,GEO,2024,0.02,2024
Germany,DEU,2024,25.45,2024
Ghana,,,-1.95,2023
Greece,GRC,2024,-0.16,2024
Greenland,,,0,2022
Grenada,,,0,2022
Guatemala,,,0.47,2023
Guinea,,,0,2023
Guinea-Bissau,,,0,2022
Guyana,,,0,2023
Haiti,,,0,2022
Honduras,,,0.21,2023
Hungary,HUN,2024,10.84,2024
Iceland,,,0,2023
India,IND,2024,-3.07,2024
Indonesia,,,0.89,2023
Iran,IRN,2024,-2.99,2024
Iraq,,,3.13,2023
Ireland,IRL,2024,4.58,2024
Israel,,,-6.93,2023
Italy,ITA,2024,50.94,2024
Jamaica,,,0,2022
Japan,JPN,2024,0,2024
Jordan,,,0.07,2022
Kazakhstan,KAZ,2024,1.45,2024
Kenya,KEN,2024,0.88,2024
Kiribati,,,0,2022
Kosovo,OWID_KOS,2024,0.62,2024
Kuwait,KWT,2024,0,2024
Kyrgyzstan,KGZ,2024,4.15,2024
Laos,,,-37.04,2023
Latvia,LVA,2024,1.12,2024
Lebanon,,,0,2023
Lesotho,,,0.43,2022
Liberia,,,0,2023
Libya,,,0.8,2023
Lithuania,LTU,2024,5.23,2024
Luxembourg,LUX,2024,5.26,2024
Madagascar,,,0,2022
Malawi,,,-0.02,2022
Malaysia,MYS,2024,-1.22,2024
Maldives,,,0,2023
Mali,,,0.22,2023
Malta,MLT,2024,0.96,2024
Mauritania,,,0.38,2022
Mauritius,,,0,2023
Mexico,MEX,2024,2.89,2024
Moldova,MDA,2024,1.29,2024
Mongolia,MNG,2024,2.2,2024
Montenegro,MNE,2024,0.06,2024
Morocco,MAR,2024,2.58,2024
Mozambique,,,-3.2,2023
Myanmar,MMR,2024,-0.2,2024
Namibia,,,2.75,2023
Nauru,,,0,2023
Nepal,,,0.49,2022
Netherlands,NLD,2024,-4.38,2024
New Caledonia,,,0,2022
New Zealand,NZL,2024,0,2024
Nicaragua,,,1.13,2023
Niger,,,1.21,2023
Nigeria,NGA,2024,-2.4,2024
North Korea,,,0,2022
North Macedonia,MKD,2024,0.9,2024
Norway,NOR,2024,-18.52,2024
Oman,OMN,2024,0,2024
Pakistan,PAK,2024,0.48,2024
Palestine,,,6.7,2022
Panama,,,-0.17,2023
Papua New Guinea,,,0,2023
Paraguay,,,-24.2,2023
Peru,PER,2024,0.04,2024
Philippines,PHL,2024,0,2024
Poland,POL,2024,1.83,2024
Portugal,PRT,2024,10.48,2024
Puerto Rico,PRI,2024,0,2024
Qatar,QAT,2024,0,2024
Romania,ROU,2024,3.06,2024
Russia,RUS,2024,-16.48,2024
Rwanda,,,0.02,2023
Saint Kitts and Nevis,,,0,2022
Saint Lucia,,,0,2022
Saint Vincent and the Grenadines,,,0,2023
Samoa,,,0,2023
Sao Tome and Principe,,,0,2022
Saudi Arabia,,,-0.04,2023
Senegal,,,0.49,2023
Serbia,SRB,2024,0.3,2024
Seychelles,,,0,2023
Sierra Leone,,,0,2023
Singapore,SGP,2024,0.02,2024
Slovakia,SVK,2024,-3.04,2024
Slovenia,SVN,2024,-2.37,2024
Solomon Islands,,,0,2023
Somalia,,,0,2023
South Africa,ZAF,2024,-5.02,2024
South Korea,KOR,2024,0,2024
South Sudan,,,0,2023
Spain,ESP,2024,-10.31,2024
Sri Lanka,,,0,2022
Sudan,,,0.88,2023
Suriname,,,0,2023
Sweden,SWE,2024,-33.47,2024
Switzerland,CHE,2024,-13.48,2024
Syria,,,-0.36,2022
Taiwan,TWN,2024,0,2024
Tajikistan,TJK,2024,0.22,2024
Tanzania,,,0.16,2023
Thailand,THA,2024,37.08,2024
Togo,,,1.1,2023
Tonga,,,0,2023
Trinidad and Tobago,,,0,2023
Tunisia,TUN,2024,2.5,2024
Turkey,TUR,2024,0.64,2024
Turkmenistan,,,-9,2023
Uganda,,,-0.41,2022
Ukraine,UKR,2024,0.28,2024
United Arab Emirates,,,-0.11,2023
United Kingdom,GBR,2024,33.19,2024
United States,USA,2024,13.81,2024
Uruguay,URY,2024,-5.1,2024
Uzbekistan,,,2.93,2023
Vanuatu,,,0,2023
Venezuela,,,-0.6,2023
Vietnam,VNM,2024,2.17,2024
Western Sahara,,,,2024
Yemen,,,0,2023
Zambia,,,-2.82,2023
Zimbabwe,,,1.9,2023
