Entity,Code,Net imports - TWh,time,latitude,longitude
Italy,ITA,50.94,2024,,
Thailand,THA,37.08,2024,,
United Kingdom,GBR,33.19,2024,,
Germany,DEU,25.45,2024,,
Brazil,BRA,15.11,2024,,
United States,USA,13.81,2024,,
Hungary,HUN,10.84,2024,,
Portugal,PRT,10.48,2024,,
Bangladesh,BGD,9.66,2024,,
Belgium,BEL,9.5,2024,,
Argentina,ARG,8.79,2024,,
Palestine,,6.7,2022,,
Afghanistan,,6.22,2023,,
Cambodia,KHM,5.78,2024,,
Luxembourg,LUX,5.26,2024,,
Lithuania,LTU,5.23,2024,,
Ireland,IRL,4.58,2024,,
Kyrgyzstan,KGZ,4.15,2024,,
Croatia,HRV,4.04,2024,,
Denmark,DNK,3.8,2024,,
Finland,FIN,3.19,2024,,
Iraq,,3.13,2023,,
Romania,ROU,3.06,2024,,
Uzbekistan,,2.93,2023,,
Estonia,EST,2.91,2024,,
Mexico,MEX,2.89,2024,,
Namibia,,2.75,2023,,
Morocco,MAR,2.58,2024,,
Tunisia,TUN,2.5,2024,,
Mongolia,MNG,2.2,2024,,
Vietnam,VNM,2.17,2024,,
Botswana,,1.92,2023,,
Zimbabwe,,1.9,2023,,
Poland,POL,1.83,2024,,
Burkina Faso,,1.58,2023,,
Kazakhstan,KAZ,1.45,2024,,
Democratic Republic of Congo,,1.41,2023,,
Moldova,MDA,1.29,2024,,
Niger,,1.21,2023,,
Nicaragua,,1.13,2023,,
Latvia,LVA,1.12,2024,,
Togo,,1.1,2023,,
Malta,MLT,0.96,2024,,
Eswatini,,0.93,2023,,
North Macedonia,MKD,0.9,2024,,
Indonesia,,0.89,2023,,
Kenya,KEN,0.88,2024,,
Sudan,,0.88,2023,,
Benin,,0.84,2023,,
Bhutan,,0.83,2023,,
Libya,,0.8,2023,,
El Salvador,SLV,0.71,2024,,
Turkey,TUR,0.64,2024,,
Belarus,BLR,0.62,2024,,
Kosovo,OWID_KOS,0.62,2024,,
Gabon,,0.58,2023,,
Djibouti,,0.51,2023,,
Nepal,,0.49,2022,,
Senegal,,0.49,2023,,
Pakistan,PAK,0.48,2024,,
Guatemala,,0.47,2023,,
Lesotho,,0.43,2022,,
Mauritania,,0.38,2022,,
Serbia,SRB,0.3,2024,,
Belize,,0.28,2023,,
Ecuador,ECU,0.28,2024,,
Ukraine,UKR,0.28,2024,,
Mali,,0.22,2023,,
Tajikistan,TJK,0.22,2024,,
Honduras,,0.21,2023,,
Tanzania,,0.16,2023,,
Burundi,,0.1,2023,,
Jordan,,0.07,2022,,
Cameroon,,0.06,2023,,
Montenegro,MNE,0.06,2024,,
Peru,PER,0.04,2024,,
Georgia,GEO,0.02,2024,,
Rwanda,,0.02,2023,,
Singapore,SGP,0.02,2024,,
Bahrain,,0.01,2023,,
Angola,,0,2023,,
Antigua and Barbuda,,0,2023,,
Australia,AUS,0,2024,,
Bahamas,,0,2022,,
Barbados,,0,2023,,
Bolivia,BOL,0,2024,,
Bosnia and Herzegovina,BIH,0,2024,,
Brunei,,0,2023,,
Cape Verde,,0,2022,,
Central African Republic,,0,2022,,
Chad,,0,2022,,
Chile,CHL,0,2024,,
Comoros,,0,2023,,
Congo,,0,2023,,
Cuba,,0,2023,,
Cyprus,CYP,0,2024,,
Dominica,,0,2023,,
Dominican Republic,DOM,0,2024,,
East Timor,,0,2023,,
Equatorial Guinea,,0,2023,,
Eritrea,,0,2023,,
Fiji,,0,2023,,
French Guiana,,0,2022,,
Gambia,,0,2023,,
Greenland,,0,2022,,
Grenada,,0,2022,,
Guinea,,0,2023,,
Guinea-Bissau,,0,2022,,
Guyana,,0,2023,,
Haiti,,0,2022,,
Iceland,,0,2023,,
Jamaica,,0,2022,,
Japan,JPN,0,2024,,
Kiribati,,0,2022,,
