,UnitID,name,type,Bus name,x,y,capacity,Technology,Cost,Start Year,Retired Year,Status
0,24,DRAXD-2,biomass,way/160580052-400,-0.996389,53.7358,129.0,biomass,14.89361702,1975.0,,operating
1,86,MARK-1,biomass,way/1185489725-220,-3.603516,57.480403,15.0,biomass,14.89361702,,,shelved
2,103,TIBG-1,biomass,way/94530230-275,0.389,51.459,22.0,biomass,14.89361702,2028.0,,construction
3,784,DRAXX-1,biomass,GB30-400,-0.626221,53.748711,13.571428571428571,biomass,14.89361702,2027.0,,pre-construction
4,785,DRAXX-2,biomass,GB30-400,-0.626221,53.748711,13.571428571428571,biomass,14.89361702,2027.0,,pre-construction
5,786,DRAXX-3,biomass,GB30-400,-0.626221,53.748711,13.571428571428571,biomass,14.89361702,2027.0,,pre-construction
6,787,DRAXX-4,biomass,GB30-400,-0.626221,53.748711,13.571428571428571,biomass,14.89361702,2027.0,,pre-construction
7,788,DRAXX-5,biomass,GB30-400,-0.626221,53.748711,13.571428571428571,biomass,14.89361702,2027.0,,pre-construction
8,789,DRAXX-6,biomass,GB30-400,-0.626221,53.748711,13.571428571428571,biomass,14.89361702,2027.0,,pre-construction
9,new_bio_0,Bioenergy_0,biomass,way/203880168-275,-2.0103,52.6086,44.0,biomass,,2027.0,,pre-construction
10,new_bio_27,Bioenergy_27,biomass,way/91010711-400,0.4924,51.2931,43.0,biomass,,2008.0,,operating
11,new_bio_120,Bioenergy_120,biomass,way/292471784-400,-2.6687,51.5329,34.0,biomass,,2021.0,,operating
12,new_bio_181,Bioenergy_181,biomass,way/101312018-275,-1.4007,53.4204,30.0,biomass,,1921.0,,operating
13,new_bio_199,Bioenergy_199,biomass,GB32-400,-0.5092,53.5423,40.0,biomass,,2016.0,,operating
14,new_bio_226,Bioenergy_226,biomass,way/98788846-275,-3.1504,51.4711,30.0,biomass,,2015.0,,operating
15,new_bio_347,Bioenergy_347,biomass,way/160580052-400,-0.999021,53.737196,129.0,biomass,,1975.0,,operating
16,new_bio_348,Bioenergy_348,biomass,way/160580052-400,-0.999021,53.737196,129.0,biomass,,1975.0,,operating
17,new_bio_349,Bioenergy_349,biomass,way/160580052-400,-0.999021,53.737196,129.0,biomass,,1975.0,,operating
18,new_bio_350,Bioenergy_350,biomass,way/160580052-400,-0.999021,53.737196,129.0,biomass,,1975.0,,operating
19,new_bio_352,Bioenergy_352,biomass,way/111550033-400,-2.4638,55.9761,30.0,biomass,,2019.0,,operating
